Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2023-05-08T13:30:00.000Z,4136.98,4140.93,4136.98,4139.84,0.10,0.10,0
2023-05-08T13:31:00.000Z,4139.92,4139.92,4137.02,4137.22,-0.06,-0.06,11852361
2023-05-08T13:32:00.000Z,4137.32,4138.38,4136.94,4137.34,0,0,10489166
2023-05-08T13:33:00.000Z,4137.45,4138.22,4135.86,4136.31,-0.02,-0.03,9602944
2023-05-08T13:34:00.000Z,4136.29,4136.53,4135.44,4136.07,-0.01,-0.01,8123025
2023-05-08T13:35:00.000Z,4135.90,4138.31,4135.52,4137.65,0.04,0.04,9175701
2023-05-08T13:36:00.000Z,4137.54,4138.44,4137.54,4138.13,0.01,0.01,7874913
2023-05-08T13:37:00.000Z,4138.09,4139.72,4138.09,4139.28,0.03,0.03,7662509
2023-05-08T13:38:00.000Z,4139.43,4139.43,4138.48,4138.48,-0.02,-0.02,7296095
2023-05-08T13:39:00.000Z,4138.51,4139.38,4138.45,4139.32,0.02,0.02,7025102
2023-05-08T13:40:00.000Z,4139.36,4140.01,4138.50,4138.59,-0.02,-0.02,9906456
2023-05-08T13:41:00.000Z,4138.61,4139.03,4137.50,4138.07,-0.01,-0.01,7463119
2023-05-08T13:42:00.000Z,4138.12,4138.66,4137.24,4138.22,0,0,7515920
2023-05-08T13:43:00.000Z,4138.26,4138.30,4136.93,4137.22,-0.02,-0.02,6677431
2023-05-08T13:44:00.000Z,4137.14,4137.18,4135.53,4135.81,-0.03,-0.03,6941836
2023-05-08T13:45:00.000Z,4135.81,4136.61,4135.01,4135.65,0,0,7974551
2023-05-08T13:46:00.000Z,4135.59,4135.59,4133.42,4133.42,-0.05,-0.05,7748309
2023-05-08T13:47:00.000Z,4133.38,4133.49,4131.59,4131.66,-0.04,-0.04,6805562
2023-05-08T13:48:00.000Z,4131.74,4133.69,4131.32,4133.28,0.04,0.04,6242717
2023-05-08T13:49:00.000Z,4133.30,4133.80,4131.97,4131.97,-0.03,-0.03,7090459
2023-05-08T13:50:00.000Z,4132.07,4132.07,4129.69,4129.74,-0.05,-0.05,8248764
2023-05-08T13:51:00.000Z,4129.66,4131.13,4129.59,4130.84,0.03,0.03,6606189
2023-05-08T13:52:00.000Z,4130.93,4133.24,4130.93,4132.74,0.05,0.05,6429901
2023-05-08T13:53:00.000Z,4132.73,4132.73,4131.56,4131.88,-0.02,-0.02,6190887
2023-05-08T13:54:00.000Z,4131.66,4131.72,4130.09,4130.11,-0.04,-0.04,5489738
2023-05-08T13:55:00.000Z,4130.15,4131.89,4130.11,4131.73,0.04,0.04,5833823
2023-05-08T13:56:00.000Z,4131.78,4132.72,4131.72,4132.40,0.02,0.02,5544507
2023-05-08T13:57:00.000Z,4132.31,4132.60,4130.74,4130.78,-0.04,-0.04,5989134
2023-05-08T13:58:00.000Z,4130.73,4132.11,4130.64,4131.64,0.02,0.02,5713798
2023-05-08T13:59:00.000Z,4131.60,4132.31,4131.20,4132.31,0.02,0.02,5943623
2023-05-08T14:00:00.000Z,4132.37,4134.39,4131.56,4134.29,0.05,0.05,8061998
2023-05-08T14:01:00.000Z,4134.29,4134.37,4132.98,4133.96,-0.01,-0.01,6745992
2023-05-08T14:02:00.000Z,4133.99,4134.79,4133.39,4134.79,0.02,0.02,5640995
2023-05-08T14:03:00.000Z,4134.77,4134.79,4133.19,4134.22,-0.01,-0.01,6498100
2023-05-08T14:04:00.000Z,4134.27,4135.04,4134.27,4135.04,0.02,0.02,6918827
2023-05-08T14:05:00.000Z,4135.23,4135.44,4134.61,4134.74,-0.01,-0.01,5937245
2023-05-08T14:06:00.000Z,4134.77,4135.69,4133.88,4134.22,-0.01,-0.01,5646721
2023-05-08T14:07:00.000Z,4134.26,4134.48,4133.01,4133.03,-0.03,-0.03,5079908
2023-05-08T14:08:00.000Z,4132.92,4133.63,4131.76,4131.96,-0.03,-0.03,6273291
2023-05-08T14:09:00.000Z,4131.85,4132.39,4130.49,4130.73,-0.03,-0.03,5005485
2023-05-08T14:10:00.000Z,4130.80,4132.33,4130.80,4132.09,0.03,0.03,5278010
2023-05-08T14:11:00.000Z,4132.09,4132.09,4129.72,4130.12,-0.05,-0.05,5256175
2023-05-08T14:12:00.000Z,4130.10,4130.10,4128.49,4129.44,-0.02,-0.02,5592368
2023-05-08T14:13:00.000Z,4129.41,4131.40,4129.34,4131.21,0.04,0.04,4605936
2023-05-08T14:14:00.000Z,4131.28,4131.40,4129.97,4129.98,-0.03,-0.03,4113864
2023-05-08T14:15:00.000Z,4129.94,4130.97,4129.69,4129.69,-0.01,-0.01,4278668
2023-05-08T14:16:00.000Z,4129.83,4130.02,4128.49,4129.20,-0.01,-0.01,4892596
2023-05-08T14:17:00.000Z,4129.20,4129.21,4128.41,4128.72,-0.01,-0.01,4632439
2023-05-08T14:18:00.000Z,4128.67,4131.33,4128.67,4131.32,0.06,0.06,5647974
2023-05-08T14:19:00.000Z,4131.36,4132.30,4131.36,4131.72,0.01,0.01,4617783
2023-05-08T14:20:00.000Z,4131.73,4132.56,4131.73,4131.90,0,0,4366701
2023-05-08T14:21:00.000Z,4131.92,4131.92,4130.67,4131.42,-0.01,-0.01,5205209
2023-05-08T14:22:00.000Z,4131.44,4131.70,4130.92,4131.42,0,0,4351123
2023-05-08T14:23:00.000Z,4131.37,4131.63,4130.35,4131.43,0,0,5335586
2023-05-08T14:24:00.000Z,4131.33,4131.33,4129.85,4130.23,-0.03,-0.03,4582670
2023-05-08T14:25:00.000Z,4130.25,4130.25,4129.40,4129.73,-0.01,-0.01,5050479
2023-05-08T14:26:00.000Z,4129.63,4129.95,4128.98,4129.38,-0.01,-0.01,4337432
2023-05-08T14:27:00.000Z,4129.35,4130.37,4129.29,4130.07,0.02,0.02,5804407
2023-05-08T14:28:00.000Z,4130.02,4130.14,4128.77,4128.81,-0.03,-0.03,4789633
2023-05-08T14:29:00.000Z,4128.82,4128.85,4128.14,4128.67,0,0,5102989
2023-05-08T14:30:00.000Z,4128.68,4131.32,4128.68,4130.88,0.05,0.05,6036040
2023-05-08T14:31:00.000Z,4130.98,4131.41,4130.55,4131.26,0.01,0.01,4440099
2023-05-08T14:32:00.000Z,4131.30,4132.31,4129.99,4130.05,-0.03,-0.03,4731409
2023-05-08T14:33:00.000Z,4130.02,4130.38,4129.30,4129.64,-0.01,-0.01,3953747
2023-05-08T14:34:00.000Z,4129.70,4129.70,4128.01,4128.45,-0.03,-0.03,4800494
2023-05-08T14:35:00.000Z,4128.48,4128.63,4127.24,4128.55,0,0,5956633
2023-05-08T14:36:00.000Z,4128.54,4128.54,4127.31,4127.39,-0.03,-0.03,4288775
2023-05-08T14:37:00.000Z,4127.39,4128.81,4127.39,4128.52,0.03,0.03,4131946
2023-05-08T14:38:00.000Z,4128.51,4128.70,4127.56,4128.07,-0.01,-0.01,4242569
2023-05-08T14:39:00.000Z,4128.08,4129.99,4128.08,4129.68,0.04,0.04,4054098
2023-05-08T14:40:00.000Z,4129.72,4130.55,4129.56,4130.03,0.01,0.01,5418918
2023-05-08T14:41:00.000Z,4130.05,4132.66,4130.02,4132.55,0.06,0.06,3676976
2023-05-08T14:42:00.000Z,4132.54,4132.94,4132.24,4132.77,0.01,0.01,3875679
2023-05-08T14:43:00.000Z,4132.75,4133.24,4132.57,4132.57,0,0,3906515
2023-05-08T14:44:00.000Z,4132.60,4132.60,4131.46,4132.45,0,0,4305461
2023-05-08T14:45:00.000Z,4132.55,4132.99,4132.39,4132.79,0.01,0.01,3974379
2023-05-08T14:46:00.000Z,4132.67,4132.67,4131.35,4132.08,-0.02,-0.02,4523476
2023-05-08T14:47:00.000Z,4132.14,4133.60,4132.14,4133.21,0.03,0.03,4214559
2023-05-08T14:48:00.000Z,4133.25,4133.25,4132.32,4133.17,0,0,3561007
2023-05-08T14:49:00.000Z,4133.14,4134.90,4133.14,4134.70,0.04,0.04,4597292
2023-05-08T14:50:00.000Z,4134.79,4134.91,4134.39,4134.39,-0.01,-0.01,4056806
2023-05-08T14:51:00.000Z,4134.45,4135.15,4134.42,4134.82,0.01,0.01,4151090
2023-05-08T14:52:00.000Z,4134.80,4135.16,4134.44,4134.62,0,0,3818500
2023-05-08T14:53:00.000Z,4134.64,4134.94,4134.31,4134.31,-0.01,-0.01,4697314
2023-05-08T14:54:00.000Z,4134.27,4135.19,4134.17,4135.16,0.02,0.02,4571959
2023-05-08T14:55:00.000Z,4135.16,4135.43,4134.65,4135.10,0,0,4694694
2023-05-08T14:56:00.000Z,4135.13,4135.81,4134.79,4134.84,-0.01,-0.01,5633102
2023-05-08T14:57:00.000Z,4134.66,4135.51,4134.64,4135.48,0.02,0.02,4790013
2023-05-08T14:58:00.000Z,4135.37,4136.06,4134.99,4135.51,0,0,5046051
2023-05-08T14:59:00.000Z,4135.42,4135.44,4134.24,4134.27,-0.03,-0.03,4634051
2023-05-08T15:00:00.000Z,4134.31,4135.30,4134.05,4135.30,0.02,0.02,4148663
2023-05-08T15:01:00.000Z,4135.44,4136.23,4135.43,4135.44,0,0,4408420
2023-05-08T15:02:00.000Z,4135.44,4136.20,4135.23,4136.02,0.01,0.01,4352940
2023-05-08T15:03:00.000Z,4136.09,4136.09,4135.44,4135.67,-0.01,-0.01,3460094
2023-05-08T15:04:00.000Z,4135.71,4136.46,4135.67,4136.29,0.01,0.01,3711912
2023-05-08T15:05:00.000Z,4136.29,4136.38,4135.21,4135.38,-0.02,-0.02,4594792
2023-05-08T15:06:00.000Z,4135.44,4136.32,4135.33,4136.07,0.02,0.02,3537573
2023-05-08T15:07:00.000Z,4136.14,4136.80,4135.77,4136.80,0.02,0.02,3544458
2023-05-08T15:08:00.000Z,4136.84,4137.24,4136.78,4137.03,0.01,0.01,2130367
2023-05-08T15:10:00.000Z,4137.50,4137.83,4137.27,4137.80,0.02,0.02,9772459
2023-05-08T15:11:00.000Z,4137.84,4138.25,4137.73,4138.24,0.01,0.01,3964448
2023-05-08T15:12:00.000Z,4138.35,4138.54,4138.11,4138.54,0.01,0.01,4637281
2023-05-08T15:13:00.000Z,4138.55,4138.55,4137.17,4137.43,-0.03,-0.03,4630719
2023-05-08T15:14:00.000Z,4137.53,4137.53,4135.60,4135.79,-0.04,-0.04,4719362
2023-05-08T15:15:00.000Z,4135.77,4135.77,4134.70,4134.87,-0.02,-0.02,4147504
2023-05-08T15:16:00.000Z,4134.90,4135.67,4134.65,4134.95,0,0,4557445
2023-05-08T15:17:00.000Z,4134.94,4135.39,4134.68,4135.28,0.01,0.01,4131107
2023-05-08T15:18:00.000Z,4135.34,4136.15,4134.89,4135.80,0.01,0.01,3392217
2023-05-08T15:19:00.000Z,4135.75,4135.94,4135.56,4135.94,0,0,3571173
2023-05-08T15:20:00.000Z,4135.93,4135.93,4135.02,4135.09,-0.02,-0.02,4405077
2023-05-08T15:21:00.000Z,4135.06,4135.32,4134.56,4134.59,-0.01,-0.01,4299542
2023-05-08T15:22:00.000Z,4134.67,4134.70,4133.32,4134.29,-0.01,-0.01,4502479
2023-05-08T15:23:00.000Z,4134.26,4134.26,4133.48,4133.97,-0.01,-0.01,3726256
2023-05-08T15:24:00.000Z,4133.98,4134.73,4133.93,4134.36,0.01,0.01,3667201
2023-05-08T15:25:00.000Z,4134.10,4134.15,4132.83,4132.83,-0.04,-0.04,4372161
2023-05-08T15:26:00.000Z,4132.81,4133.50,4132.78,4132.91,0,0,3747652
2023-05-08T15:27:00.000Z,4132.79,4133.24,4132.05,4133.23,0.01,0.01,4065681
2023-05-08T15:28:00.000Z,4133.18,4133.41,4132.37,4132.37,-0.02,-0.02,3574216
2023-05-08T15:29:00.000Z,4132.39,4132.39,4131.12,4131.45,-0.02,-0.02,3918973
2023-05-08T15:30:00.000Z,4131.39,4131.40,4130.35,4130.44,-0.02,-0.02,3504895
2023-05-08T15:31:00.000Z,4130.37,4130.37,4129.13,4130.24,0,0,4987025
2023-05-08T15:32:00.000Z,4130.23,4130.82,4129.82,4130.82,0.01,0.01,3958328
2023-05-08T15:33:00.000Z,4130.85,4131.23,4130.31,4130.54,-0.01,-0.01,3441486
2023-05-08T15:34:00.000Z,4130.56,4132.23,4130.56,4131.98,0.03,0.03,4045842
2023-05-08T15:35:00.000Z,4131.98,4131.98,4131.49,4131.84,0,0,3418417
2023-05-08T15:36:00.000Z,4131.83,4132.24,4131.69,4132.20,0.01,0.01,3031336
2023-05-08T15:37:00.000Z,4132.19,4132.35,4131.59,4132.23,0,0,3457917
2023-05-08T15:38:00.000Z,4132.24,4132.83,4131.67,4131.76,-0.01,-0.01,3954386
2023-05-08T15:39:00.000Z,4131.75,4132.07,4131.42,4131.64,0,0,3137215
2023-05-08T15:40:00.000Z,4131.64,4132.38,4131.38,4132.24,0.01,0.01,3944366
2023-05-08T15:41:00.000Z,4132.24,4132.24,4131.52,4131.71,-0.01,-0.01,2947154
2023-05-08T15:42:00.000Z,4131.75,4131.90,4131.35,4131.77,0,0,3726025
2023-05-08T15:43:00.000Z,4131.75,4133.04,4131.29,4132.98,0.03,0.03,3971961
2023-05-08T15:44:00.000Z,4133.09,4133.54,4133.05,4133.54,0.01,0.01,3178155
2023-05-08T15:45:00.000Z,4133.56,4133.96,4133.27,4133.39,0,0,3972824
2023-05-08T15:46:00.000Z,4133.38,4135.36,4133.38,4135.36,0.05,0.05,3704460
2023-05-08T15:47:00.000Z,4135.21,4135.64,4135.12,4135.56,0,0,3078351
2023-05-08T15:48:00.000Z,4135.58,4135.82,4134.89,4134.90,-0.02,-0.02,3787048
2023-05-08T15:49:00.000Z,4134.85,4135.11,4134.73,4135.07,0,0,2986090
2023-05-08T15:50:00.000Z,4135.06,4135.54,4134.77,4135.30,0.01,0.01,3810618
2023-05-08T15:51:00.000Z,4135.30,4135.61,4135.18,4135.41,0,0,2913620
2023-05-08T15:52:00.000Z,4135.44,4135.53,4135.22,4135.33,0,0,3307438
2023-05-08T15:53:00.000Z,4135.30,4136.12,4135.24,4136.10,0.02,0.02,3185639
2023-05-08T15:54:00.000Z,4136.17,4137.31,4136.17,4137.17,0.03,0.03,4526630
2023-05-08T15:55:00.000Z,4137.17,4137.19,4136.69,4136.79,-0.01,-0.01,3476032
2023-05-08T15:56:00.000Z,4136.82,4136.82,4135.68,4136.13,-0.02,-0.02,3775760
2023-05-08T15:57:00.000Z,4136.28,4136.75,4136.25,4136.72,0.01,0.01,3567461
2023-05-08T15:58:00.000Z,4136.71,4136.81,4136.26,4136.80,0,0,3272329
2023-05-08T15:59:00.000Z,4136.81,4136.83,4136.10,4136.55,-0.01,-0.01,3300585
2023-05-08T16:00:00.000Z,4136.62,4136.97,4136.31,4136.96,0.01,0.01,3374388
2023-05-08T16:01:00.000Z,4137.04,4137.10,4136.36,4137.09,0,0,3345320
2023-05-08T16:02:00.000Z,4137.09,4137.76,4137.09,4137.74,0.02,0.02,3360520
2023-05-08T16:03:00.000Z,4137.70,4137.77,4136.41,4136.41,-0.03,-0.03,3524186
2023-05-08T16:04:00.000Z,4136.43,4136.43,4134.84,4135.11,-0.03,-0.03,4146163
2023-05-08T16:05:00.000Z,4135.07,4135.07,4134.29,4134.51,-0.01,-0.01,2934823
2023-05-08T16:06:00.000Z,4134.50,4135.17,4134.32,4135.08,0.01,0.01,3237323
2023-05-08T16:07:00.000Z,4135.10,4135.57,4134.88,4135.33,0.01,0.01,3445283
2023-05-08T16:08:00.000Z,4135.35,4135.43,4134.38,4134.61,-0.02,-0.02,3628341
2023-05-08T16:09:00.000Z,4134.62,4135.64,4134.62,4135.52,0.02,0.02,3582208
2023-05-08T16:10:00.000Z,4135.50,4135.51,4133.87,4133.99,-0.04,-0.04,3309566
2023-05-08T16:11:00.000Z,4134.03,4134.54,4133.93,4134.54,0.01,0.01,3317254
2023-05-08T16:12:00.000Z,4134.62,4134.62,4132.74,4132.78,-0.04,-0.04,3450138
2023-05-08T16:13:00.000Z,4132.70,4132.70,4131.85,4132.29,-0.01,-0.01,3746727
2023-05-08T16:14:00.000Z,4132.27,4132.84,4132.17,4132.27,0,0,2879683
2023-05-08T16:15:00.000Z,4132.27,4132.27,4131.13,4131.27,-0.02,-0.02,3343028
2023-05-08T16:16:00.000Z,4131.27,4131.96,4131.27,4131.39,0,0,3047005
2023-05-08T16:17:00.000Z,4131.32,4133.09,4131.32,4132.84,0.04,0.03,3819432
2023-05-08T16:18:00.000Z,4132.85,4133.43,4132.84,4133.43,0.01,0.01,2618212
2023-05-08T16:19:00.000Z,4133.46,4134.56,4133.46,4134.46,0.02,0.02,2863142
2023-05-08T16:20:00.000Z,4134.44,4134.48,4133.80,4134.02,-0.01,-0.01,3080495
2023-05-08T16:21:00.000Z,4134.05,4134.82,4134.05,4134.67,0.02,0.02,2451906
2023-05-08T16:22:00.000Z,4134.77,4134.77,4133.62,4133.92,-0.02,-0.02,2988538
2023-05-08T16:23:00.000Z,4133.90,4134.41,4133.90,4134.10,0,0,2620722
2023-05-08T16:24:00.000Z,4134.16,4134.19,4133.63,4133.75,-0.01,-0.01,2389670
2023-05-08T16:25:00.000Z,4133.76,4134.23,4133.74,4134.10,0.01,0.01,2672129
2023-05-08T16:26:00.000Z,4134.13,4134.13,4132.85,4133.55,-0.01,-0.01,4202254
2023-05-08T16:27:00.000Z,4133.55,4133.73,4133.01,4133.26,-0.01,-0.01,3051109
2023-05-08T16:28:00.000Z,4133.20,4133.47,4133.08,4133.26,0,0,2333977
2023-05-08T16:29:00.000Z,4133.28,4133.77,4133.28,4133.77,0.01,0.01,2458335
2023-05-08T16:30:00.000Z,4133.77,4134.53,4133.77,4134.53,0.02,0.02,2869502
2023-05-08T16:31:00.000Z,4134.64,4134.97,4134.29,4134.29,-0.01,-0.01,3146436
2023-05-08T16:32:00.000Z,4134.30,4134.30,4133.87,4133.98,-0.01,-0.01,2860321
2023-05-08T16:33:00.000Z,4134.06,4134.39,4133.09,4133.26,-0.02,-0.02,2955652
2023-05-08T16:34:00.000Z,4133.28,4133.28,4132.35,4132.52,-0.02,-0.02,2808250
2023-05-08T16:35:00.000Z,4132.54,4133.24,4132.54,4132.83,0.01,0.01,2623172
2023-05-08T16:36:00.000Z,4132.81,4133.25,4132.48,4133.25,0.01,0.01,2885680
2023-05-08T16:37:00.000Z,4133.25,4134.08,4133.25,4133.91,0.02,0.02,3089141
2023-05-08T16:38:00.000Z,4133.88,4134.14,4133.30,4134.13,0.01,0.01,2838299
2023-05-08T16:39:00.000Z,4134.20,4134.51,4133.94,4133.94,0,0,2893824
2023-05-08T16:40:00.000Z,4133.86,4133.91,4132.43,4132.47,-0.04,-0.04,3734696
2023-05-08T16:41:00.000Z,4132.43,4133.02,4132.35,4132.79,0.01,0.01,3279639
2023-05-08T16:42:00.000Z,4132.77,4132.86,4132.23,4132.23,-0.01,-0.01,2572192
